item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM_1,ORD_253,PROD_116,1,591.09,83.46
ITEM_2,ORD_305,PROD_66,6,393.72,15.1
ITEM_3,ORD_143,PROD_296,10,32.83,2.27
ITEM_4,ORD_105,PROD_195,6,182.66,44.38
ITEM_5,ORD_23,PROD_251,3,538.01,59.46
ITEM_6,ORD_260,PROD_232,2,286.85,76.7
ITEM_7,ORD_480,PROD_61,10,567.15,18.03
ITEM_8,ORD_11,PROD_511,4,269.71,81.49
ITEM_9,ORD_456,PROD_148,2,82.85,53.06
ITEM_10,ORD_133,PROD_399,4,577.38,60.38
ITEM_11,ORD_319,PROD_370,5,21.86,32.01
ITEM_12,ORD_501,PROD_173,1,385.07,92.69
ITEM_13,ORD_448,PROD_398,3,69.12,88.78
ITEM_14,ORD_277,PROD_309,7,300.19,65.39
ITEM_15,ORD_50,PROD_268,6,32.64,83.75
ITEM_16,ORD_226,PROD_107,1,518.93,33.83
ITEM_17,ORD_63,PROD_107,9,481.27,89.79
ITEM_18,ORD_342,PROD_507,8,221.14,64.62
ITEM_19,ORD_100,PROD_339,8,184.06,43.44
ITEM_20,ORD_303,PROD_419,3,361.65,41.86
ITEM_21,ORD_193,PROD_440,10,384.64,24.23
ITEM_22,ORD_459,PROD_505,3,587.98,76.18
ITEM_23,ORD_484,PROD_116,7,180.83,69.96
ITEM_24,ORD_438,PROD_346,9,263.43,22.82
ITEM_25,ORD_471,PROD_393,10,74.1,0.59
ITEM_26,ORD_230,PROD_244,2,319.36,30.62
ITEM_27,ORD_462,PROD_497,1,106.44,75.95
ITEM_28,ORD_71,PROD_295,9,223.4,74.12
ITEM_29,ORD_360,PROD_463,1,64.52,26.85
ITEM_30,ORD_346,PROD_309,4,366.1,50.59
ITEM_31,ORD_128,PROD_413,6,377.87,29.3
ITEM_32,ORD_411,PROD_63,1,85.23,86.33
ITEM_33,ORD_173,PROD_86,8,135.34,36.47
ITEM_34,ORD_429,PROD_209,1,154.16,8.1
ITEM_35,ORD_493,PROD_333,10,145.26,31.54
ITEM_36,ORD_351,PROD_137,8,528.54,43.2
ITEM_37,ORD_125,PROD_270,2,571.4,56.46
ITEM_38,ORD_259,PROD_42,10,74.15,88.45
ITEM_39,ORD_148,PROD_247,10,225.15,86.85
ITEM_40,ORD_507,PROD_289,1,96.97,13.5
ITEM_41,ORD_442,PROD_31,7,490.04,52.36
ITEM_42,ORD_289,PROD_398,3,234.96,18.46
ITEM_43,ORD_398,PROD_17,10,394.59,56.19
ITEM_44,ORD_416,PROD_482,2,227.74,51.3
ITEM_45,ORD_129,PROD_265,10,439.6,53.04
ITEM_46,ORD_355,PROD_391,10,312.03,62.77
ITEM_47,ORD_436,PROD_207,3,143.58,5.69
ITEM_48,ORD_6,PROD_357,3,239.32,54.14
ITEM_49,ORD_505,PROD_264,5,295.24,61.31
ITEM_50,ORD_278,PROD_285,5,415.21,71.01
ITEM_51,ORD_324,PROD_377,9,59.73,5.65
ITEM_52,ORD_100,PROD_9,8,597.89,26.39
ITEM_53,ORD_306,PROD_223,7,471.9,45.81
ITEM_54,ORD_412,PROD_226,8,513.73,71.15
ITEM_55,ORD_33,PROD_82,1,226.59,39.97
ITEM_56,ORD_91,PROD_163,6,597.47,56.73
ITEM_57,ORD_416,PROD_433,9,340.65,26.72
ITEM_58,ORD_314,PROD_60,6,576.28,17.3
ITEM_59,ORD_25,PROD_401,8,344.04,45.74
ITEM_60,ORD_51,PROD_115,6,250.44,17.91
ITEM_61,ORD_224,PROD_461,10,21.35,64.35
ITEM_63,ORD_113,PROD_167,3,466.22,34.88
ITEM_64,ORD_246,PROD_172,6,507.91,65.28
ITEM_65,ORD_463,PROD_45,8,586.74,34.64
ITEM_66,ORD_439,PROD_306,9,365.1,47.25
ITEM_67,ORD_377,PROD_336,10,407.37,27.89
ITEM_68,ORD_277,PROD_482,3,439.66,22.5
ITEM_69,ORD_375,PROD_108,6,359.3,69.5
ITEM_70,ORD_316,PROD_392,6,306.04,13.44
ITEM_71,ORD_174,PROD_83,10,514.68,24.59
ITEM_72,ORD_104,PROD_47,6,398.54,91.8
ITEM_73,ORD_255,PROD_321,2,427.03,81.4
ITEM_74,ORD_328,PROD_442,10,118.03,58.17
ITEM_75,ORD_8,PROD_84,5,129.43,32.25
ITEM_76,ORD_210,PROD_240,6,173.01,31.27
ITEM_77,ORD_14,PROD_432,4,209.7,90.36
ITEM_78,ORD_456,PROD_129,9,132.21,85.88
ITEM_79,ORD_15,PROD_392,9,38.01,36.51
ITEM_80,ORD_324,PROD_449,9,442.04,80.94
ITEM_81,ORD_350,PROD_304,4,167.73,96.38
ITEM_82,ORD_337,PROD_474,8,38.38,21.27
ITEM_83,ORD_412,PROD_133,3,171.05,15.63
ITEM_84,ORD_176,PROD_270,10,48.78,59.75
ITEM_85,ORD_422,PROD_360,7,526.58,15.38
ITEM_86,ORD_100,PROD_95,4,117.85,61.88
ITEM_87,ORD_473,PROD_39,1,65.26,69.54
ITEM_88,ORD_188,PROD_400,1,482.1,42.03
ITEM_89,ORD_407,PROD_13,10,444.65,45.38
ITEM_90,ORD_10,PROD_353,7,210.58,48.29
ITEM_91,ORD_21,PROD_467,4,231.49,30.64
ITEM_92,ORD_466,PROD_355,3,146.24,73.93
ITEM_93,ORD_271,PROD_424,3,558.21,26.8
ITEM_94,ORD_296,PROD_472,4,112.47,36.7
ITEM_95,ORD_358,PROD_165,6,176.6,80.82
ITEM_96,ORD_33,PROD_57,3,528.75,39.38
ITEM_97,ORD_452,PROD_227,9,216.28,82.12
ITEM_98,ORD_86,PROD_438,6,588.63,62.49
ITEM_99,ORD_319,PROD_248,8,216.51,51.41
ITEM_100,ORD_392,PROD_234,7,249.37,4.91
ITEM_101,ORD_45,PROD_370,1,339.04,36.48
ITEM_102,ORD_393,PROD_500,8,417.46,64.0
ITEM_103,ORD_119,PROD_30,4,559.49,2.93
ITEM_104,ORD_450,PROD_130,3,25.43,66.07
ITEM_105,ORD_179,PROD_249,4,160.79,93.12
ITEM_106,ORD_48,PROD_130,2,196.12,87.94
ITEM_107,ORD_367,PROD_137,10,526.27,29.17
ITEM_108,ORD_80,PROD_364,1,506.78,85.87
ITEM_109,ORD_238,PROD_160,2,584.84,52.37
ITEM_110,ORD_85,PROD_394,9,340.87,43.31
ITEM_111,ORD_105,PROD_169,8,480.39,43.27
ITEM_112,ORD_192,PROD_269,6,544.39,66.03
ITEM_113,ORD_486,PROD_502,6,452.93,73.99
ITEM_114,ORD_390,PROD_341,9,127.73,56.95
ITEM_115,ORD_399,PROD_146,4,500.88,82.61
ITEM_116,ORD_242,PROD_242,10,454.22,26.91
ITEM_117,ORD_410,PROD_103,9,477.93,79.81
ITEM_118,ORD_103,PROD_19,3,566.27,7.32
ITEM_119,ORD_484,PROD_514,-1,268.93,84.55
ITEM_120,ORD_64,PROD_127,4,93.72,61.89
ITEM_121,ORD_216,PROD_440,7,461.09,43.91
ITEM_123,ORD_115,PROD_293,7,510.89,35.94
ITEM_124,ORD_403,PROD_230,9,81.98,98.13
ITEM_125,ORD_210,PROD_113,4,416.82,21.09
ITEM_126,ORD_281,PROD_8,9,563.71,80.28
ITEM_127,ORD_277,PROD_506,9,509.23,96.94
ITEM_128,ORD_78,PROD_482,10,513.16,84.14
ITEM_129,ORD_81,PROD_331,9,553.61,62.62
ITEM_130,ORD_157,PROD_226,9,231.12,8.85
ITEM_131,ORD_246,PROD_5,2,149.06,22.2
ITEM_132,ORD_191,PROD_266,10,197.57,43.42
ITEM_133,ORD_516,PROD_6,10,173.37,84.12
ITEM_134,ORD_312,PROD_366,5,368.49,11.13
ITEM_135,ORD_501,PROD_64,5,26.31,59.01
ITEM_136,ORD_10,PROD_444,1,419.46,88.55
ITEM_137,ORD_508,PROD_356,10,160.51,5.87
ITEM_138,ORD_351,PROD_262,10,523.39,79.19
ITEM_139,ORD_486,PROD_100,2,545.98,47.12
ITEM_140,ORD_378,PROD_393,-2,410.32,53.75
ITEM_141,ORD_225,PROD_231,10,507.27,88.13
ITEM_142,ORD_443,PROD_19,7,168.98,61.29
ITEM_143,ORD_464,PROD_75,7,579.72,81.14
ITEM_144,ORD_279,PROD_342,5,419.63,62.27
ITEM_145,ORD_80,PROD_210,1,519.1,74.06
ITEM_146,ORD_192,PROD_52,3,171.2,35.76
ITEM_147,ORD_392,PROD_100,7,231.14,94.39
ITEM_148,ORD_435,PROD_329,10,79.91,84.23
ITEM_149,ORD_101,PROD_393,1,234.39,60.37
ITEM_150,ORD_486,PROD_392,5,71.6,4.75
ITEM_151,ORD_514,PROD_58,8,126.93,39.41
ITEM_152,ORD_513,PROD_77,1,76.92,88.21
ITEM_153,ORD_158,PROD_39,2,514.71,64.34
ITEM_154,ORD_437,PROD_22,7,488.97,68.59
ITEM_155,ORD_518,PROD_8,8,227.08,27.02
ITEM_156,ORD_378,PROD_59,6,58.99,65.78
ITEM_157,ORD_196,PROD_454,8,309.24,95.59
ITEM_158,ORD_519,PROD_347,6,137.12,35.87
ITEM_159,ORD_485,PROD_157,10,351.08,72.65
ITEM_160,ORD_155,PROD_214,1,149.21,29.65
ITEM_161,ORD_304,PROD_312,10,195.98,44.1
ITEM_162,ORD_329,PROD_162,4,543.66,73.32
ITEM_163,ORD_229,PROD_422,5,73.62,24.83
ITEM_165,ORD_99,PROD_302,9,33.74,83.67
ITEM_166,ORD_62,PROD_150,6,356.9,0.52
ITEM_167,ORD_453,PROD_183,6,386.02,85.69
ITEM_168,ORD_506,PROD_94,2,99.05,57.87
ITEM_169,ORD_428,PROD_457,5,131.44,38.33
ITEM_170,ORD_22,PROD_6,1,206.19,82.61
ITEM_171,ORD_185,PROD_492,9,365.17,99.03
ITEM_172,ORD_324,PROD_43,9,152.94,7.56
ITEM_173,ORD_113,PROD_303,5,189.11,35.92
ITEM_174,ORD_322,PROD_447,-2,247.6,64.34
ITEM_175,ORD_450,PROD_286,5,571.53,84.23
ITEM_176,ORD_252,PROD_453,-5,324.12,91.38
ITEM_177,ORD_321,PROD_441,7,53.97,55.07
ITEM_178,ORD_448,PROD_102,6,442.81,15.12
ITEM_179,ORD_156,PROD_462,7,210.28,26.07
ITEM_180,ORD_279,PROD_79,8,397.35,31.45
ITEM_181,ORD_431,PROD_273,2,206.18,32.99
ITEM_182,ORD_312,PROD_494,9,261.09,60.59
ITEM_183,ORD_193,PROD_207,6,533.49,33.25
ITEM_184,ORD_175,PROD_436,2,86.29,91.5
ITEM_185,ORD_315,PROD_500,1,221.17,28.36
ITEM_186,ORD_33,PROD_73,8,69.82,62.48
ITEM_187,ORD_496,PROD_15,-3,128.38,9.58
ITEM_188,ORD_234,PROD_377,4,244.4,81.41
ITEM_189,ORD_299,PROD_246,7,272.55,84.26
