product_id,product_name,category,subcategory,cost_price
PROD_1,Blender 1,Home,Blender,323.41
PROD_2,Jeans 2,Clothing,Jeans,470.08
PROD_3,Fiction 3,Books,Fiction,153.3
PROD_4,Fiction 4,Books,Fiction,27.74
PROD_5,Chair 5,Home,Chair,499.54
PROD_6,Blender 6,Home,Blender,352.43
PROD_7,Smartphone 7,Electronics,Smartphone,464.08
PROD_8,Smartphone 8,Electronics,Smartphone,120.05
PROD_9,Jeans 9,Clothing,Jeans,129.86
PROD_10,Sci-Fi 10,Books,Sci-Fi,314.98
PROD_11,  Laptop 11  ,Electronics,Laptop,475.47
PROD_12,Laptop 12,Electronics,Laptop,424.95
PROD_13,Smartphone 13,Electronics,Smartphone,310.59
PROD_14,Laptop 14,Electronics,Laptop,31.29
PROD_15,Smartphone 15,Electronics,Smartphone,114.89
PROD_16,  Smartphone 16  ,Electronics,Smartphone,282.82
PROD_17,Fiction 17,Books,Fiction,461.41
PROD_18,Biography 18,Books,Biography,377.47
PROD_19,T-Shirt 19,Clothing,T-Shirt,392.14
PROD_20,Jeans 20,Clothing,Jeans,19.92
PROD_21,Laptop 21,Electronics,Laptop,179.79
PROD_22,Laptop 22,Electronics,Laptop,37.91
PROD_23,Sci-Fi 23,Books,Sci-Fi,44.69
PROD_24,Blender 24,Home,Blender,131.38
PROD_25,Smartphone 25,Electronics,Smartphone,115.39
PROD_26,Jeans 26,Clothing,Jeans,349.8
PROD_27,Smartphone 27,Electronics,Smartphone,447.82
PROD_28,Chair 28,Home,Chair,447.22
PROD_29,Chair 29,Home,Chair,357.41
PROD_30,Chair 30,Home,Chair,346.77
PROD_31,Sci-Fi 31,Books,Sci-Fi,458.91
PROD_32,Jeans 32,Clothing,Jeans,245.72
PROD_33,Laptop 33,Electronics,Laptop,56.34
PROD_34,Laptop 34,Electronics,Laptop,159.91
PROD_35,Blender 35,Home,Blender,116.42
PROD_36,Sci-Fi 36,Books,Sci-Fi,491.85
PROD_37,Blender 37,Home,Blender,41.37
PROD_38,  Lamp 38  ,Home,Lamp,418.41
PROD_39,Biography 39,Books,Biography,127.78
PROD_40,Blender 40,Home,Blender,476.87
PROD_41,Chair 41,Home,Chair,320.58
PROD_42,Chair 42,Home,Chair,417.29
